Run-time: 3888.154792070389 seconds
Algorithm: T-GRAANK 
   - H5Py implementation 
No. of (dataset) attributes: 9
No. of (dataset) tuples: 10000
Minimum support: 0.5
Minimum representativity: 0.9
Multi-core execution: True
Number of cores: 14
Number of tasks: 1000

0. Date
1. Time
2. Global_active_power**
3. Global_reactive_power
4. Voltage
5. Global_intensity
6. Sub_metering_1
7. Sub_metering_2
8. Sub_metering_3

File: data/UCI_household_power_consumption10k.csv

Pattern : Support
['2+', '3+'] : 0.541 | ~ +24.0 hours : 0.001
['3-', '2-'] : 0.541 | ~ +24.0 hours : 0.001
['5+', '3+'] : 0.537 | ~ +24.0 hours : 0.001
['3-', '5-'] : 0.537 | ~ +24.0 hours : 0.001
['5+', '4-'] : 0.751 | ~ +24.0 hours : 0.001
['5+', '2+', '4-'] : 0.706 | ~ +24.0 hours : 0.001
['2-', '4+', '5-'] : 0.706 | ~ +24.0 hours : 0.001
['2+', '3+'] : 0.537 | ~ +24.0 hours : 0.001
['3-', '2-'] : 0.537 | ~ +24.0 hours : 0.001
['5+', '3+'] : 0.537 | ~ +24.0 hours : 0.001
['3-', '5-'] : 0.537 | ~ +24.0 hours : 0.001
['5+', '4-'] : 0.751 | ~ +24.0 hours : 0.001
['5+', '2+', '4-'] : 0.683 | ~ +24.0 hours : 0.001
['2-', '4+', '5-'] : 0.683 | ~ +24.0 hours : 0.001
['2+', '3+'] : 0.532 | ~ +24.0 hours : 0.002
['3-', '2-'] : 0.532 | ~ +24.0 hours : 0.002
['5+', '3+'] : 0.537 | ~ +24.0 hours : 0.002
['3-', '5-'] : 0.537 | ~ +24.0 hours : 0.002
['5+', '4-'] : 0.751 | ~ +24.0 hours : 0.002
['5+', '2+', '4-'] : 0.675 | ~ +24.0 hours : 0.002
['2-', '4+', '5-'] : 0.675 | ~ +24.0 hours : 0.002
['2+', '3+'] : 0.527 | ~ +24.0 hours : 0.003
['3-', '2-'] : 0.527 | ~ +24.0 hours : 0.003
['5+', '3+'] : 0.537 | ~ +24.0 hours : 0.003
['3-', '5-'] : 0.537 | ~ +24.0 hours : 0.003
['5+', '4-'] : 0.751 | ~ +24.0 hours : 0.003
['5+', '2+', '4-'] : 0.679 | ~ +24.0 hours : 0.003
['2-', '4+', '5-'] : 0.679 | ~ +24.0 hours : 0.003
['2+', '3+'] : 0.521 | ~ +24.0 hours : 0.004
['3-', '2-'] : 0.521 | ~ +24.0 hours : 0.004
['5+', '3+'] : 0.536 | ~ +24.0 hours : 0.004
['3-', '5-'] : 0.536 | ~ +24.0 hours : 0.004
['5+', '4-'] : 0.751 | ~ +24.0 hours : 0.004
['5+', '2+', '4-'] : 0.68 | ~ +24.0 hours : 0.004
['2-', '4+', '5-'] : 0.68 | ~ +24.0 hours : 0.004
['2+', '3+'] : 0.518 | ~ +24.0 hours : 0.004
['3-', '2-'] : 0.518 | ~ +24.0 hours : 0.004
['5+', '3+'] : 0.536 | ~ +24.0 hours : 0.004
['3-', '5-'] : 0.536 | ~ +24.0 hours : 0.004
['5+', '4-'] : 0.751 | ~ +24.0 hours : 0.004
['5+', '2+', '4-'] : 0.668 | ~ +24.0 hours : 0.004
['2-', '4+', '5-'] : 0.668 | ~ +24.0 hours : 0.004
['2+', '3+'] : 0.514 | ~ +24.0 hours : 0.005
['3-', '2-'] : 0.514 | ~ +24.0 hours : 0.005
['5+', '3+'] : 0.536 | ~ +24.0 hours : 0.005
['3-', '5-'] : 0.536 | ~ +24.0 hours : 0.005
['5+', '4-'] : 0.751 | ~ +24.0 hours : 0.005
['5+', '2+', '4-'] : 0.657 | ~ +24.0 hours : 0.005
['2-', '4+', '5-'] : 0.657 | ~ +24.0 hours : 0.005
['2+', '3+'] : 0.51 | ~ +24.0 hours : 0.006
['3-', '2-'] : 0.51 | ~ +24.0 hours : 0.006
['5+', '3+'] : 0.536 | ~ +24.0 hours : 0.006
['3-', '5-'] : 0.536 | ~ +24.0 hours : 0.006
['5+', '4-'] : 0.751 | ~ +24.0 hours : 0.006
['5+', '2+', '4-'] : 0.655 | ~ +24.0 hours : 0.006
['2-', '4+', '5-'] : 0.655 | ~ +24.0 hours : 0.006
['2+', '3+'] : 0.506 | ~ +24.0 hours : 0.006
['3-', '2-'] : 0.506 | ~ +24.0 hours : 0.006
['5+', '3+'] : 0.536 | ~ +24.0 hours : 0.006
['3-', '5-'] : 0.536 | ~ +24.0 hours : 0.006
['5+', '4-'] : 0.751 | ~ +24.0 hours : 0.006
['5+', '2+', '4-'] : 0.654 | ~ +24.0 hours : 0.006
['2-', '4+', '5-'] : 0.654 | ~ +24.0 hours : 0.006
['2+', '3+'] : 0.503 | ~ +24.0 hours : 0.007
['3-', '2-'] : 0.503 | ~ +24.0 hours : 0.007
['5+', '3+'] : 0.536 | ~ +24.0 hours : 0.007
['3-', '5-'] : 0.536 | ~ +24.0 hours : 0.007
['5+', '4-'] : 0.75 | ~ +24.0 hours : 0.007
['5+', '2+', '4-'] : 0.652 | ~ +24.0 hours : 0.007
['2-', '4+', '5-'] : 0.652 | ~ +24.0 hours : 0.007
['2+', '3+'] : 0.5 | ~ +24.0 hours : 0.008
