Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH
18:00:00,2.6,1292,112,9.4,955,103,1174,92,1559,972,16.8,49.1
19:00:00,2,1402,88,9.0,939,131,1140,114,1555,1074,16.9,49.8
20:00:00,2.2,1376,80,9.2,948,172,1092,122,1584,1203,17.4,48.6
21:00:00,2.2,1272,51,6.5,836,131,1205,116,1490,1110,18.0,48.9
22:00:00,1.6,1197,38,4.7,750,89,1337,96,1393,949,21.2,54.3
23:00:00,1.2,1185,31,3.6,690,62,1462,77,1333,733,22.4,58.1
0:00:00,1.2,1136,31,3.3,672,62,1453,76,1333,730,22.6,62.5
1:00:00,1,1094,24,2.3,609,45,1579,60,1276,620,23.6,66.1
2:00:00,0.9,1010,19,1.7,561,-200,1705,-200,1235,501,23.5,65.7
3:00:00,0.6,1011,14,1.3,527,21,1818,34,1197,445,22.9,68.1
4:00:00,-200,1066,8,1.1,512,16,1918,28,1182,422,22.3,66.7
5:00:00,0.7,1052,16,1.6,553,34,1738,48,1221,472,21.6,67.5
6:00:00,0.7,1144,29,3.2,667,98,1490,82,1339,730,21.2,70.0
7:00:00,1.1,1333,64,8.0,900,174,1136,112,1517,1102,20.8,68.1
8:00:00,2,1351,87,9.5,960,129,1079,101,1583,1028,20.4,66.9
9:00:00,2.2,1233,77,6.3,827,112,1218,98,1446,860,20.1,72.1
10:00:00,1.7,1179,43,5.0,762,95,1328,92,1362,671,19.5,72.3
11:00:00,1.5,1236,61,5.2,774,104,1301,95,1401,664,19.3,74.8
12:00:00,1.6,1286,63,7.3,869,146,1162,112,1537,799,19.7,72.8
13:00:00,1.9,1371,164,11.5,1034,207,983,128,1730,1037,19.7,65.8
14:00:00,2.9,1310,79,8.8,933,184,1082,126,1647,946,19.9,61.4
15:00:00,2.2,1292,95,8.3,912,193,1103,131,1591,957,18.4,57.5
16:00:00,2.2,1383,150,11.2,1020,243,1008,135,1719,1104,18.9,52.4
17:00:00,2.9,1581,307,20.8,1319,281,799,151,2083,1409,18.1,50.8
18:00:00,4.8,1776,461,27.4,1488,383,702,172,2333,1704,20.4,47.1
19:00:00,6.9,1640,401,24.0,1404,351,743,165,2191,1654,20.6,44.2
20:00:00,6.1,1313,197,12.8,1076,240,957,136,1707,1285,19.3,43.0
21:00:00,3.9,965,61,4.7,749,94,1325,85,1333,821,22.2,48.3
22:00:00,1.5,913,26,2.6,629,47,1565,53,1252,552,23.0,57.9
23:00:00,1,1080,55,5.9,805,122,1254,97,1375,816,24.3,63.6
0:00:00,1.7,1044,53,6.4,829,133,1247,110,1378,832,22.0,67.7
1:00:00,1.9,988,40,4.1,718,82,1396,91,1304,692,22.9,69.3
2:00:00,1.4,889,21,1.9,574,-200,1680,-200,1187,512,23.2,70.5
3:00:00,0.8,831,10,1.1,506,21,1893,32,1134,384,23.0,69.5
4:00:00,-200,847,7,1.0,501,30,1895,44,1155,394,22.4,70.1
5:00:00,0.6,927,17,1.8,571,56,1685,71,1223,487,21.7,70.7
6:00:00,0.8,1091,33,4.4,730,109,1387,104,1361,748,21.2,71.4
7:00:00,1.4,1587,202,17.9,1236,307,897,141,1900,1400,20.8,71.1
8:00:00,4.4,1545,-200,22.1,1353,-200,767,-200,2058,1588,20.0,73.8
9:00:00,-200,1350,208,14.0,1118,187,912,122,1712,1237,19.7,75.4
10:00:00,3.1,1263,166,11.6,1037,216,969,143,1598,1167,19.9,78.4
11:00:00,2.7,1206,114,10.2,986,143,1035,113,1537,959,20.1,76.6
12:00:00,2.1,1252,140,11.0,1016,160,1008,116,1593,983,20.1,66.7
13:00:00,2.5,1287,169,12.8,1078,163,949,123,1660,1061,19.6,70.0
14:00:00,2.7,1353,185,14.2,1122,190,922,126,1740,1139,19.1,61.7
15:00:00,2.9,1309,165,12.7,1073,178,954,120,1657,1112,18.4,50.4
16:00:00,2.8,1274,133,11.7,1041,150,1006,119,1610,994,18.4,49.1
17:00:00,2.4,1510,233,19.3,1277,206,812,149,1910,1410,19.2,46.7
18:00:00,3.9,1525,242,18.2,1246,202,821,145,1847,1448,19.4,47.9
19:00:00,3.7,1843,488,32.6,1610,340,624,170,2390,1887,19.1,48.0
20:00:00,6.6,1598,333,20.1,1299,274,752,149,1941,1627,20.3,44.9
21:00:00,4.4,1484,215,14.3,1127,253,839,139,1723,1491,23.1,50.1
