BUDAPEST,BARANYA,BACS,BEKES,BORSOD,CSONGRAD,FEJER,GYOR,HAJDU,HEVES,JASZ,KOMAROM,NOGRAD,PEST,SOMOGY,SZABOLCS,TOLNA,VAS,VESZPREM,ZALA
59,79,31,86,55,98,30,41,44,33,68,46,43,125,6,74,7,70,4,10
333,60,57,126,43,21,26,35,46,19,90,54,62,143,50,26,38,89,32,8
145,44,34,87,28,38,29,65,77,21,152,49,45,75,45,86,8,66,13,23
208,49,95,152,33,48,22,59,31,10,107,97,38,107,113,39,41,56,11,15
174,78,71,192,42,22,20,56,46,34,67,56,45,102,24,88,43,79,35,13
128,76,48,174,59,26,64,67,63,19,101,70,88,103,26,32,43,72,43,6
190,103,18,171,42,89,41,66,76,24,136,46,30,142,33,162,47,59,75,55
228,74,17,217,93,40,54,58,40,30,82,73,76,125,24,47,39,76,29,22
149,86,52,243,63,67,69,74,109,50,135,91,30,124,42,62,11,55,42,17
181,81,26,271,35,25,57,87,113,12,161,82,52,161,40,75,53,56,41,5
131,59,70,119,54,105,61,71,86,18,112,72,65,173,40,44,36,53,36,5
227,74,32,130,37,89,73,116,108,28,106,66,41,155,24,93,14,75,41,51
158,63,50,111,145,21,96,63,54,16,89,51,15,168,12,33,13,82,83,14
168,83,18,101,85,77,67,128,94,23,87,63,76,35,42,61,33,102,57,17
181,53,44,126,52,86,114,107,81,37,79,59,22,120,30,27,8,71,39,25
138,74,65,86,105,29,54,90,74,25,58,64,27,193,32,13,15,110,118,82
129,50,51,116,79,46,51,92,71,30,47,124,22,159,10,43,22,81,71,9
161,66,134,94,40,70,92,106,93,22,79,83,20,176,57,47,7,40,105,2
121,81,18,139,82,103,58,94,68,34,62,105,21,117,11,38,21,34,101,43
128,46,69,85,78,90,71,60,46,28,57,74,2,100,39,31,44,53,133,52
150,99,111,100,65,30,42,110,68,44,42,146,37,138,32,16,39,71,99,5
146,62,70,54,54,58,73,123,49,26,41,82,14,115,97,8,34,24,141,42
115,98,81,56,68,47,56,108,21,43,46,83,22,105,46,16,12,21,126,13
120,30,34,32,48,61,42,113,61,19,43,81,14,135,19,29,5,42,102,4
140,56,51,26,44,39,53,56,23,11,57,72,20,182,63,5,26,24,97,51
73,40,31,13,70,21,22,57,21,6,12,43,36,72,21,6,0,36,120,18
91,18,34,12,24,3,35,61,7,6,11,33,8,72,28,1,5,18,43,1
71,15,15,10,51,5,21,49,12,2,8,20,36,55,14,2,0,35,50,21
61,12,17,1,26,15,15,24,9,3,9,17,9,41,14,0,1,34,33,4
19,12,9,8,8,14,6,27,4,4,14,4,4,29,9,1,1,24,40,8
16,4,10,1,12,3,4,7,3,1,1,4,13,32,9,2,0,24,33,1
11,4,5,6,6,2,5,5,3,4,2,3,1,11,6,0,1,9,5,4
17,1,7,1,7,1,0,4,0,3,5,5,3,1,3,4,0,13,12,2
14,0,5,2,5,1,2,33,1,4,3,1,0,19,8,2,0,5,4,0
13,1,1,0,13,0,0,7,3,2,0,4,2,6,1,8,4,1,4,1
22,3,2,5,6,0,0,4,3,9,1,4,1,4,0,5,3,3,0,1
42,1,2,1,1,0,0,6,0,2,2,7,0,13,0,4,0,1,2,2
4,3,8,10,4,6,1,2,2,11,3,21,0,8,3,5,4,0,0,0
18,2,5,7,2,2,7,3,3,13,1,9,2,5,1,9,2,0,3,0
6,4,9,7,1,6,10,3,1,7,4,22,11,12,3,5,3,2,4,3
10,3,9,19,4,6,9,5,1,25,2,43,1,20,1,8,2,1,8,15
60,8,34,4,8,7,17,4,3,28,1,48,0,36,3,1,3,1,12,3
103,9,20,11,9,0,16,13,15,36,1,51,0,30,8,2,2,2,8,31
31,15,0,5,22,9,2,22,36,56,5,52,0,27,7,9,12,0,15,13
103,12,72,14,7,10,16,12,28,54,1,17,37,30,10,10,5,7,8,25
44,21,25,13,32,1,17,6,10,50,16,49,26,30,10,19,12,1,20,18
91,9,19,4,25,24,17,30,26,68,0,50,68,46,10,20,2,4,39,27
83,13,35,6,35,10,12,22,20,105,12,31,30,126,12,3,8,5,25,55
111,28,17,17,15,2,12,32,45,82,21,37,26,96,15,16,4,4,43,24
91,32,23,8,25,4,40,27,15,138,25,20,47,102,15,1,1,9,91,8
