BUDAPEST,BACS,BEKES,BORSOD,CSONGRAD,FEJER,GYOR,HAJDU,HEVES,JASZ,KOMAROM,NOGRAD,PEST,SOMOGY,SZABOLCS,TOLNA,VAS,VESZPREM,ZALA
189302400.0,88819200.0,3715200.0,152323200.0,76287600.0,189302400.0,56764800.0,178934400.0,28339200.0,189302400.0,3715200.0,214617600.0,131497200.0,88819200.0,123292800.0,185587200.0,6217200.0,152323200.0,149990400.0
189302400.0,70938000.0,21596400.0,141955200.0,40698000.0,189302400.0,38883600.0,135651600.0,10458000.0,189302400.0,21596400.0,196736400.0,131504400.0,70938000.0,105411600.0,167706000.0,6224400.0,141955200.0,104202000.0
189302400.0,108946800.0,1209600.0,182649600.0,63504000.0,189302400.0,61689600.0,158457600.0,43282800.0,189302400.0,1209600.0,222134400.0,126403200.0,108946800.0,145926000.0,190512000.0,29030400.0,182649600.0,127008000.0
189302400.0,93744000.0,13734000.0,157248000.0,63504000.0,189302400.0,79398000.0,155865600.0,33264000.0,189302400.0,13734000.0,239929200.0,126403200.0,93744000.0,128217600.0,203036400.0,29030400.0,157248000.0,127008000.0
189302400.0,93744000.0,1209600.0,157248000.0,70930800.0,189302400.0,61689600.0,173574000.0,33264000.0,189302400.0,1209600.0,219542400.0,126403200.0,93744000.0,128217600.0,190512000.0,31622400.0,157248000.0,144716400.0
189302400.0,81219600.0,11314800.0,142131600.0,76294800.0,189302400.0,49165200.0,145933200.0,20739600.0,189302400.0,11314800.0,207018000.0,131587200.0,81219600.0,113360400.0,177987600.0,36806400.0,142131600.0,114483600.0
189302400.0,98751600.0,1209600.0,172364400.0,63504000.0,189302400.0,61689600.0,158457600.0,40950000.0,189302400.0,1209600.0,219542400.0,126403200.0,98751600.0,143593200.0,190512000.0,29030400.0,172364400.0,127008000.0
189302400.0,116640000.0,11401200.0,157248000.0,63504000.0,189302400.0,69116400.0,153532800.0,33264000.0,189302400.0,11401200.0,229647600.0,126403200.0,116640000.0,128217600.0,200703600.0,29030400.0,157248000.0,124675200.0
189302400.0,93744000.0,1209600.0,157248000.0,68598000.0,189302400.0,87004800.0,171241200.0,33264000.0,189302400.0,1209600.0,219542400.0,124070400.0,93744000.0,128217600.0,190512000.0,29030400.0,157248000.0,142383600.0
189302400.0,83552400.0,8982000.0,142131600.0,76294800.0,189302400.0,51498000.0,148266000.0,23068800.0,189302400.0,8982000.0,209350800.0,131587200.0,83552400.0,118022400.0,180320400.0,28857600.0,142131600.0,116816400.0
189302400.0,93744000.0,1206000.0,170031600.0,63504000.0,189302400.0,61689600.0,158457600.0,30672000.0,189302400.0,1206000.0,219542400.0,126403200.0,93744000.0,133311600.0,190508400.0,29030400.0,170031600.0,127008000.0
189302400.0,111625200.0,1206000.0,157248000.0,63500400.0,189302400.0,66783600.0,158454000.0,48553200.0,189302400.0,1206000.0,224636400.0,126403200.0,111625200.0,128214000.0,190508400.0,29030400.0,157248000.0,127004400.0
189302400.0,93747600.0,19098000.0,157251600.0,58582800.0,189302400.0,84675600.0,160963200.0,33264000.0,189302400.0,19098000.0,242528400.0,126403200.0,93747600.0,128217600.0,208400400.0,29034000.0,157251600.0,132105600.0
189302400.0,93747600.0,1209600.0,157248000.0,76291200.0,189302400.0,61693200.0,178851600.0,33264000.0,189302400.0,1209600.0,219546000.0,131500800.0,93747600.0,128217600.0,190512000.0,36720000.0,157248000.0,127008000.0
189302400.0,75855600.0,16678800.0,141865200.0,45615600.0,189302400.0,43801200.0,140569200.0,5356800.0,189302400.0,16678800.0,201654000.0,108514800.0,75855600.0,107823600.0,172623600.0,11145600.0,141865200.0,109119600.0
189302400.0,101347200.0,6217200.0,177642000.0,63504000.0,189302400.0,56768400.0,158457600.0,40953600.0,189302400.0,6217200.0,214534800.0,126403200.0,101347200.0,143600400.0,183085200.0,29034000.0,177642000.0,127008000.0
189302400.0,93744000.0,11491200.0,157248000.0,63504000.0,189302400.0,74476800.0,153363600.0,33264000.0,189302400.0,11491200.0,232329600.0,126403200.0,93744000.0,128217600.0,200793600.0,29030400.0,157248000.0,124502400.0
189302400.0,101170800.0,8636400.0,164674800.0,76028400.0,189302400.0,69116400.0,178671600.0,40690800.0,189302400.0,8636400.0,226969200.0,131324400.0,101170800.0,135644400.0,197938800.0,33868800.0,164674800.0,149817600.0
189302400.0,83462400.0,9072000.0,141872400.0,53222400.0,189302400.0,51408000.0,148176000.0,22982400.0,189302400.0,9072000.0,209260800.0,131504400.0,83462400.0,105325200.0,180230400.0,34041600.0,141872400.0,116726400.0
189302400.0,93744000.0,1209600.0,170035200.0,63504000.0,189302400.0,61689600.0,158457600.0,30672000.0,189302400.0,1209600.0,219542400.0,126403200.0,93744000.0,133315200.0,190512000.0,29030400.0,170035200.0,127008000.0
189302400.0,111632400.0,1209600.0,157248000.0,63504000.0,189302400.0,66787200.0,158457600.0,48560400.0,189302400.0,1209600.0,224640000.0,126403200.0,111632400.0,128217600.0,190512000.0,29030400.0,157248000.0,114397200.0
189302400.0,93744000.0,1209600.0,157248000.0,58406400.0,189302400.0,61689600.0,160963200.0,33264000.0,189302400.0,1209600.0,219542400.0,113792400.0,93744000.0,128217600.0,190512000.0,19011600.0,157248000.0,132105600.0
189302400.0,93744000.0,1209600.0,157248000.0,76294800.0,189302400.0,61689600.0,158457600.0,33264000.0,189302400.0,1209600.0,219542400.0,131500800.0,93744000.0,128217600.0,190512000.0,36720000.0,157248000.0,127008000.0
189302400.0,83638800.0,1209600.0,159753600.0,63504000.0,189302400.0,61689600.0,158457600.0,23072400.0,189302400.0,1209600.0,219542400.0,126403200.0,83638800.0,125712000.0,190512000.0,29030400.0,159753600.0,127008000.0
189302400.0,101433600.0,6393600.0,157248000.0,63504000.0,189302400.0,56592000.0,158457600.0,40953600.0,189302400.0,6393600.0,214444800.0,126403200.0,101433600.0,128217600.0,182908800.0,29030400.0,157248000.0,127008000.0
189302400.0,93744000.0,11494800.0,157248000.0,50979600.0,189302400.0,74480400.0,153360000.0,33264000.0,189302400.0,11494800.0,232333200.0,126403200.0,93744000.0,128217600.0,200797200.0,29030400.0,157248000.0,124502400.0
189302400.0,101347200.0,8812800.0,164851200.0,76291200.0,189302400.0,69292800.0,178851600.0,40867200.0,189302400.0,8812800.0,227145600.0,131500800.0,101347200.0,135820800.0,198115200.0,34041600.0,164851200.0,134611200.0
189302400.0,83458800.0,9075600.0,141865200.0,53218800.0,189302400.0,51404400.0,148172400.0,22978800.0,189302400.0,9075600.0,209257200.0,116118000.0,83458800.0,105148800.0,180226800.0,34041600.0,141865200.0,116722800.0
189302400.0,93744000.0,16498800.0,170038800.0,63504000.0,189302400.0,49165200.0,158457600.0,30672000.0,189302400.0,16498800.0,206931600.0,126403200.0,93744000.0,133315200.0,172803600.0,29030400.0,170038800.0,127008000.0
189302400.0,93744000.0,1209600.0,157248000.0,63504000.0,189302400.0,66873600.0,143341200.0,33264000.0,189302400.0,1209600.0,224726400.0,126403200.0,93744000.0,128217600.0,190512000.0,29030400.0,157248000.0,114224400.0
189302400.0,111452400.0,18918000.0,174956400.0,76114800.0,189302400.0,79398000.0,178758000.0,50972400.0,189302400.0,18918000.0,237250800.0,131328000.0,111452400.0,145926000.0,208220400.0,36547200.0,174956400.0,149814000.0
189302400.0,93744000.0,1209600.0,142131600.0,63504000.0,189302400.0,61689600.0,158457600.0,33264000.0,189302400.0,1209600.0,219542400.0,131500800.0,93744000.0,128217600.0,190512000.0,36720000.0,142131600.0,127008000.0
189302400.0,83548800.0,1209600.0,159840000.0,63504000.0,189302400.0,61689600.0,158457600.0,20476800.0,189302400.0,1209600.0,219542400.0,126403200.0,83548800.0,123033600.0,190512000.0,29030400.0,159840000.0,127008000.0
189302400.0,101437200.0,9072000.0,157248000.0,63504000.0,189302400.0,56592000.0,158457600.0,38365200.0,189302400.0,9072000.0,214444800.0,126403200.0,101437200.0,128217600.0,180230400.0,29030400.0,157248000.0,127008000.0
189302400.0,93744000.0,8816400.0,157248000.0,48128400.0,189302400.0,61689600.0,150768000.0,33264000.0,189302400.0,8816400.0,219542400.0,126403200.0,93744000.0,128217600.0,198118800.0,29030400.0,157248000.0,121824000.0
189302400.0,104025600.0,11491200.0,167529600.0,76291200.0,189302400.0,71971200.0,168739200.0,43545600.0,189302400.0,11491200.0,229824000.0,131500800.0,104025600.0,138499200.0,200793600.0,36720000.0,167529600.0,137289600.0
189302400.0,65750400.0,6397200.0,141951600.0,55897200.0,189302400.0,54082800.0,150850800.0,5443200.0,189302400.0,6397200.0,211935600.0,118796400.0,65750400.0,107823600.0,182905200.0,21423600.0,141951600.0,119401200.0
189302400.0,91152000.0,16671600.0,157248000.0,63504000.0,189302400.0,46314000.0,158457600.0,30758400.0,189302400.0,16671600.0,204166800.0,126403200.0,91152000.0,133318800.0,172630800.0,29030400.0,157248000.0,127008000.0
189302400.0,93744000.0,1209600.0,157248000.0,40698000.0,189302400.0,64195200.0,143164800.0,33264000.0,189302400.0,1209600.0,222048000.0,126403200.0,93744000.0,128217600.0,190512000.0,29030400.0,157248000.0,114220800.0
189302400.0,111625200.0,19090800.0,175129200.0,76287600.0,189302400.0,79570800.0,178934400.0,51145200.0,189302400.0,19090800.0,237423600.0,131497200.0,111625200.0,146102400.0,208393200.0,34124400.0,175129200.0,149990400.0
189302400.0,93744000.0,1209600.0,141955200.0,63504000.0,189302400.0,61689600.0,158457600.0,33267600.0,189302400.0,1209600.0,219542400.0,131504400.0,93744000.0,105411600.0,190512000.0,34131600.0,141955200.0,127008000.0
