Run-time: 0.6468563079833984 seconds
Total allocated memory size: 89.8 KiB
Algorithm: GA-GRAANK (v1.0)
No. of (dataset) attributes: 11
No. of (dataset) tuples: 589
Population size: 5
PC: 0.5
Minimum support: 0.5
Number of cores: 14
Number of patterns: 1
Number of iterations: 50
Number of cost evaluations: 100

0. Age
1. ALB
2. ALP
3. ALT
4. AST
5. BIL
6. CHE
7. CHOL
8. CREA
9. GGT
10. PROT

File: data/hcv_data.csv

Pattern : Support
['0+', '2+'] : 0.546


Evaluation: Cost
1: 0.0002423654871546292 
2: 0.0024509803921568627 
3: 0.01 
4: 0.011627906976744186 
5: 0.016666666666666666 
6: 0.010869565217391304 
7: 0.02857142857142857 
8: 0.003105590062111801 
9: 0.0031746031746031746 
10: 0.007142857142857143 
11: 0.0031746031746031746 
12: 0.008849557522123894 
13: 0.0033444816053511705 
14: 0.007142857142857143 
15: 0.0025252525252525255 
16: 0.005235602094240838 
17: 0.0024509803921568627 
18: 0.003105590062111801 
19: 0.003105590062111801 
20: 0.0025252525252525255 
21: 0.004424778761061947 
22: 0.0025252525252525255 
23: 0.008849557522123894 
24: 0.009259259259259259 
25: 0.022222222222222223 
26: 0.006578947368421052 
27: 0.0025252525252525255 
28: 0.0025252525252525255 
29: 0.0024509803921568627 
30: 0.003134796238244514 
31: 0.001430615164520744 
32: 0.002053388090349076 
33: 0.0045662100456621 
34: 0.008849557522123894 
35: 0.0025252525252525255 
36: 0.003105590062111801 
37: 0.003105590062111801 
38: 0.0024509803921568627 
39: 0.0024509803921568627 
40: 0.007142857142857143 
41: 0.0005330490405117271 
42: 0.0024509803921568627 
43: 0.007142857142857143 
44: 0.0025252525252525255 
45: 0.003703703703703704 
46: 0.008403361344537815 
47: 0.0025252525252525255 
48: 0.0005330490405117271 
49: 0.003703703703703704 
50: 0.000942507068803016 
51: 0.001430615164520744 
52: 0.000942507068803016 
53: 0.0017452006980802793 
54: 0.0011547344110854503 
55: 0.001430615164520744 
56: 0.0003920031360250882 
57: 0.001430615164520744 
58: 0.000942507068803016 
59: 0.0027100271002710027 
60: 0.000942507068803016 
61: 0.000942507068803016 
62: 0.000942507068803016 
63: 0.000942507068803016 
64: 0.000942507068803016 
65: 0.000942507068803016 
66: 0.002232142857142857 
67: 0.00034940600978336826 
68: 0.0024509803921568627 
69: 0.00034940600978336826 
70: 0.0005330490405117271 
71: 0.0024509803921568627 
72: 0.0024509803921568627 
73: 0.000942507068803016 
74: 0.000942507068803016 
75: 0.0005330490405117271 
76: 0.0005330490405117271 
77: 0.000942507068803016 
78: 0.0014705882352941176 
79: 0.00034940600978336826 
80: 0.0023584905660377358 
81: 0.0025252525252525255 
82: 0.000942507068803016 
83: 0.0024691358024691358 
84: 0.00034940600978336826 
85: 0.0017452006980802793 
86: 0.001430615164520744 
87: 0.0003920031360250882 
88: 0.00034940600978336826 
89: 0.00034940600978336826 
90: 0.00034940600978336826 
91: 0.0010582010582010583 
92: 0.0010582010582010583 
93: 0.00034940600978336826 
94: 0.0010582010582010583 
95: 0.00034940600978336826 
96: 0.00034940600978336826 
97: 0.00034940600978336826 
98: 0.00034940600978336826 
99: 0.00034940600978336826 
100: 0.0005330490405117271 
