Run-time: 1.0009269714355469 seconds
Total allocated memory size: 77.1 KiB
Algorithm: PLS-GRAANK (v1.0)
No. of (dataset) attributes: 11
No. of (dataset) tuples: 589
Step size: 0.5
Minimum support: 0.5
Number of cores: 14
Number of patterns: 1
Number of iterations: 100
Number of cost evaluations: 100

0. Age
1. ALB
2. ALP
3. ALT
4. AST
5. BIL
6. CHE
7. CHOL
8. CREA
9. GGT
10. PROT

File: data/hcv_data.csv

Pattern : Support
['0+', '2+'] : 0.546


Evaluation: Cost
1: 0.00020149103364900262 
2: 0.00020149103364900262 
3: 0.00020149103364900262 
4: 0.00013376136971642589 
5: 0.00013376136971642589 
6: 0.00013376136971642589 
7: 0.00013376136971642589 
8: 0.00013376136971642589 
9: 0.00013376136971642589 
10: 0.00013376136971642589 
11: 0.00013376136971642589 
12: 0.00013376136971642589 
13: 0.00013376136971642589 
14: 0.00013376136971642589 
15: 0.00013376136971642589 
16: 0.00013376136971642589 
17: 0.00013376136971642589 
18: 0.00013376136971642589 
19: 0.00013376136971642589 
20: 0.00013376136971642589 
21: 0.00013376136971642589 
22: 0.00013376136971642589 
23: 0.00013376136971642589 
24: 0.00013376136971642589 
25: 0.00013376136971642589 
26: 0.00013376136971642589 
27: 0.00013376136971642589 
28: 0.00013376136971642589 
29: 0.00013376136971642589 
30: 0.00013376136971642589 
31: 0.00013376136971642589 
32: 0.00013376136971642589 
33: 0.00013376136971642589 
34: 0.00013376136971642589 
35: 0.00013376136971642589 
36: 0.00013376136971642589 
37: 0.00013376136971642589 
38: 0.00013376136971642589 
39: 0.00013376136971642589 
40: 0.00013376136971642589 
41: 0.00013376136971642589 
42: 0.00013376136971642589 
43: 0.00013376136971642589 
44: 0.00013376136971642589 
45: 0.00013376136971642589 
46: 0.00013376136971642589 
47: 0.00013376136971642589 
48: 0.00013376136971642589 
49: 0.00013376136971642589 
50: 0.00013376136971642589 
51: 0.00013376136971642589 
52: 0.00013376136971642589 
53: 0.00013376136971642589 
54: 0.00013376136971642589 
55: 0.00013376136971642589 
56: 0.00013376136971642589 
57: 0.00013376136971642589 
58: 0.00013376136971642589 
59: 0.00013376136971642589 
60: 0.00013376136971642589 
61: 0.00013376136971642589 
62: 0.00013376136971642589 
63: 0.00013376136971642589 
64: 0.00013376136971642589 
65: 0.00013376136971642589 
66: 0.00013376136971642589 
67: 0.00013376136971642589 
68: 0.00013376136971642589 
69: 0.00013376136971642589 
70: 0.00013376136971642589 
71: 0.00013376136971642589 
72: 0.00013376136971642589 
73: 0.00013376136971642589 
74: 0.00013376136971642589 
75: 0.00013376136971642589 
76: 0.00013376136971642589 
77: 0.00013376136971642589 
78: 0.00013376136971642589 
79: 0.00013376136971642589 
80: 0.00013376136971642589 
81: 0.00013376136971642589 
82: 0.00013376136971642589 
83: 0.00013376136971642589 
84: 0.00013376136971642589 
85: 0.00013376136971642589 
86: 0.00013376136971642589 
87: 0.00013376136971642589 
88: 0.00013376136971642589 
89: 0.00013376136971642589 
90: 0.00013376136971642589 
91: 0.00013376136971642589 
92: 0.00013376136971642589 
93: 0.00013376136971642589 
94: 0.00013376136971642589 
95: 0.00013376136971642589 
96: 0.00013376136971642589 
97: 0.00013376136971642589 
98: 0.00013376136971642589 
99: 0.00013376136971642589 
100: 0.00013376136971642589 
